gid,split,date_min,date_max,n_leaves,voc_id,prospective,exact_recall,acquired_recall,bundle_frac,root_n_sig,root_bundle
20,test,2021-09-11,2021-09-14,292,Beta,True,0.4286,0.4286,0.0000,0,
20,test,2021-09-11,2021-09-14,292,Delta,True,1.0000,0.5000,0.0034,3,L452R
20,test,2021-09-11,2021-09-14,292,Omicron_BA1,True,0.2857,0.2500,0.0000,1,S375F
20,test,2021-09-11,2021-09-14,292,Lambda,True,0.1667,0.1667,0.0000,0,
20,test,2021-09-11,2021-09-14,292,Mu,True,0.7778,0.7778,0.0822,0,
21,test,2021-09-14,2021-10-01,253,Gamma,True,1.0000,0.9167,0.0040,1,
21,test,2021-09-14,2021-10-01,253,Zeta,True,1.0000,0.6667,0.0040,1,
21,test,2021-09-14,2021-10-01,253,Alpha,True,0.4286,0.2857,0.0040,1,
21,test,2021-09-14,2021-10-01,253,Beta,True,0.4286,0.2857,0.0000,1,
21,test,2021-09-14,2021-10-01,253,Delta,True,0.6667,0.3333,0.0000,2,
21,test,2021-09-14,2021-10-01,253,Omicron_BA1,True,0.2500,0.2143,0.0000,1,
21,test,2021-09-14,2021-10-01,253,Lambda,True,0.1667,0.0000,0.0000,1,
21,test,2021-09-14,2021-10-01,253,Mu,True,0.5556,0.4444,0.0040,1,
22,test,2021-10-01,2021-10-05,297,Gamma,True,0.2500,0.2500,0.0000,0,
22,test,2021-10-01,2021-10-05,297,Zeta,True,0.0000,0.0000,0.0000,0,
22,test,2021-10-01,2021-10-05,297,Alpha,True,0.4286,0.4286,0.0000,0,
22,test,2021-10-01,2021-10-05,297,Beta,True,0.2857,0.2857,0.0000,0,
22,test,2021-10-01,2021-10-05,297,Delta,True,0.6667,0.1667,0.0000,3,L452R
22,test,2021-10-01,2021-10-05,297,Omicron_BA1,True,0.1786,0.1429,0.0000,1,S375F
22,test,2021-10-01,2021-10-05,297,Lambda,True,0.1667,0.1667,0.0000,0,
22,test,2021-10-01,2021-10-05,297,Mu,True,0.3333,0.3333,0.0000,0,
23,test,2021-10-05,2021-10-08,293,Gamma,True,0.2500,0.2500,0.0000,0,
23,test,2021-10-05,2021-10-08,293,Zeta,True,0.0000,0.0000,0.0000,0,
23,test,2021-10-05,2021-10-08,293,Alpha,True,0.4286,0.4286,0.0000,0,
23,test,2021-10-05,2021-10-08,293,Beta,True,0.2857,0.2857,0.0000,0,
23,test,2021-10-05,2021-10-08,293,Delta,True,0.5000,0.0000,0.0000,3,L452R
23,test,2021-10-05,2021-10-08,293,Omicron_BA1,True,0.1786,0.1071,0.0000,2,S375F
23,test,2021-10-05,2021-10-08,293,Lambda,True,0.1667,0.1667,0.0000,0,
23,test,2021-10-05,2021-10-08,293,Mu,True,0.2222,0.1111,0.0000,1,
24,test,2021-10-08,2021-10-13,297,Gamma,False,1.0000,0.5000,0.0101,6,K417T;E484K;N501Y
24,test,2021-10-08,2021-10-13,297,Zeta,False,1.0000,0.3333,0.0101,2,E484K
24,test,2021-10-08,2021-10-13,297,Alpha,False,0.7143,0.2857,0.0101,3,N501Y;P681H
24,test,2021-10-08,2021-10-13,297,Beta,True,0.5714,0.1429,0.0000,3,E484K;N501Y
24,test,2021-10-08,2021-10-13,297,Delta,True,0.6667,0.5000,0.0000,1,
24,test,2021-10-08,2021-10-13,297,Omicron_BA1,True,0.2857,0.1786,0.0000,3,N501Y
24,test,2021-10-08,2021-10-13,297,Lambda,True,0.3333,0.1667,0.0000,1,
24,test,2021-10-08,2021-10-13,297,Mu,False,0.5556,0.1111,0.0101,4,E484K;N501Y
25,test,2021-10-13,2021-10-25,295,Gamma,True,1.0000,0.3333,0.0237,0,
25,test,2021-10-13,2021-10-25,295,Zeta,True,1.0000,0.0000,0.0237,0,
25,test,2021-10-13,2021-10-25,295,Alpha,True,0.4286,0.0000,0.0203,0,
25,test,2021-10-13,2021-10-25,295,Beta,True,0.4286,0.0000,0.0000,0,
25,test,2021-10-13,2021-10-25,295,Delta,True,1.0000,0.1667,0.0034,0,
25,test,2021-10-13,2021-10-25,295,Omicron_BA1,True,0.2857,0.0714,0.0000,0,
25,test,2021-10-13,2021-10-25,295,Lambda,True,0.1667,0.0000,0.0000,0,
25,test,2021-10-13,2021-10-25,295,Mu,True,0.6667,0.1111,0.0237,0,
26,test,2021-10-25,2021-11-03,300,Gamma,True,1.0000,0.1667,0.0333,3,
26,test,2021-10-25,2021-11-03,300,Zeta,True,1.0000,0.0000,0.0333,0,
26,test,2021-10-25,2021-11-03,300,Alpha,True,0.4286,0.0000,0.0333,0,
26,test,2021-10-25,2021-11-03,300,Beta,True,0.4286,0.0000,0.0000,0,
26,test,2021-10-25,2021-11-03,300,Delta,True,1.0000,0.1667,0.0033,0,
26,test,2021-10-25,2021-11-03,300,Omicron_BA1,True,0.2500,0.0357,0.0000,0,
26,test,2021-10-25,2021-11-03,300,Lambda,True,0.3333,0.1667,0.0000,0,
26,test,2021-10-25,2021-11-03,300,Mu,True,0.6667,0.1111,0.0333,0,
27,test,2021-11-03,2021-11-07,298,Gamma,True,0.2500,0.2500,0.0000,0,
27,test,2021-11-03,2021-11-07,298,Zeta,True,0.3333,0.3333,0.0000,0,
27,test,2021-11-03,2021-11-07,298,Alpha,True,0.1429,0.1429,0.0000,0,
27,test,2021-11-03,2021-11-07,298,Beta,True,0.1429,0.1429,0.0000,0,
27,test,2021-11-03,2021-11-07,298,Delta,True,1.0000,0.5000,0.0034,3,L452R
27,test,2021-11-03,2021-11-07,298,Omicron_BA1,True,0.1786,0.1429,0.0000,1,S375F
27,test,2021-11-03,2021-11-07,298,Lambda,True,0.3333,0.3333,0.0000,0,
27,test,2021-11-03,2021-11-07,298,Mu,True,0.3333,0.3333,0.0000,0,
28,test,2021-11-07,2021-11-09,295,Gamma,True,0.1667,0.1667,0.0000,0,
28,test,2021-11-07,2021-11-09,295,Zeta,True,0.0000,0.0000,0.0000,0,
28,test,2021-11-07,2021-11-09,295,Alpha,True,0.0000,0.0000,0.0000,0,
28,test,2021-11-07,2021-11-09,295,Beta,True,0.1429,0.1429,0.0000,0,
28,test,2021-11-07,2021-11-09,295,Delta,True,0.6667,0.1667,0.0000,3,L452R
28,test,2021-11-07,2021-11-09,295,Omicron_BA1,True,0.1429,0.1071,0.0000,1,S375F
28,test,2021-11-07,2021-11-09,295,Lambda,True,0.1667,0.1667,0.0000,0,
28,test,2021-11-07,2021-11-09,295,Mu,True,0.2222,0.2222,0.0000,0,
29,test,2021-11-09,2021-11-13,299,Gamma,True,0.3333,0.3333,0.0000,0,
29,test,2021-11-09,2021-11-13,299,Zeta,True,0.3333,0.3333,0.0000,0,
29,test,2021-11-09,2021-11-13,299,Alpha,True,0.5714,0.5714,0.0000,0,
29,test,2021-11-09,2021-11-13,299,Beta,True,0.7143,0.7143,0.0000,0,
29,test,2021-11-09,2021-11-13,299,Delta,True,1.0000,0.5000,0.0067,3,L452R
29,test,2021-11-09,2021-11-13,299,Omicron_BA1,True,0.3214,0.2500,0.0000,2,S375F
29,test,2021-11-09,2021-11-13,299,Lambda,True,0.5000,0.5000,0.0000,0,
29,test,2021-11-09,2021-11-13,299,Mu,True,0.4444,0.3333,0.0000,1,
30,test,2021-11-13,2021-12-04,300,Gamma,True,1.0000,0.1667,0.0133,2,
30,test,2021-11-13,2021-12-04,300,Zeta,True,1.0000,0.0000,0.0133,0,
30,test,2021-11-13,2021-12-04,300,Alpha,True,0.4286,0.0000,0.0133,0,
30,test,2021-11-13,2021-12-04,300,Beta,True,0.4286,0.0000,0.0000,0,
30,test,2021-11-13,2021-12-04,300,Delta,True,0.8333,0.0000,0.0000,1,
30,test,2021-11-13,2021-12-04,300,Omicron_BA1,True,0.2143,0.0357,0.0000,0,
30,test,2021-11-13,2021-12-04,300,Lambda,True,0.1667,0.0000,0.0000,0,
30,test,2021-11-13,2021-12-04,300,Mu,True,0.7778,0.2222,0.0133,0,
31,test,2021-12-04,2021-12-13,293,Gamma,True,0.3333,0.2500,0.0000,1,N501Y
31,test,2021-12-04,2021-12-13,293,Zeta,True,0.3333,0.3333,0.0000,0,
31,test,2021-12-04,2021-12-13,293,Alpha,True,0.7143,0.4286,0.0000,2,N501Y
31,test,2021-12-04,2021-12-13,293,Beta,True,0.7143,0.5714,0.0000,1,N501Y
31,test,2021-12-04,2021-12-13,293,Delta,True,1.0000,0.8333,0.0068,1,
31,test,2021-12-04,2021-12-13,293,Omicron_BA1,True,0.3571,0.2857,0.0000,2,N501Y
31,test,2021-12-04,2021-12-13,293,Lambda,True,0.3333,0.3333,0.0000,0,
31,test,2021-12-04,2021-12-13,293,Mu,True,0.4444,0.3333,0.0000,1,N501Y
32,test,2021-12-13,2021-12-27,300,Gamma,True,1.0000,1.0000,0.0067,0,
32,test,2021-12-13,2021-12-27,300,Zeta,True,1.0000,1.0000,0.0067,0,
32,test,2021-12-13,2021-12-27,300,Alpha,True,0.7143,0.7143,0.0000,0,
32,test,2021-12-13,2021-12-27,300,Beta,True,0.7143,0.7143,0.0000,0,
32,test,2021-12-13,2021-12-27,300,Delta,True,0.8333,0.3333,0.0000,3,L452R
32,test,2021-12-13,2021-12-27,300,Omicron_BA1,True,0.2857,0.2500,0.0000,1,S375F
32,test,2021-12-13,2021-12-27,300,Lambda,True,0.3333,0.3333,0.0000,0,
32,test,2021-12-13,2021-12-27,300,Mu,True,0.6667,0.6667,0.0067,0,
33,test,2021-12-27,2022-01-06,300,Gamma,True,0.0833,0.0833,0.0000,0,
33,test,2021-12-27,2022-01-06,300,Zeta,True,0.0000,0.0000,0.0000,0,
33,test,2021-12-27,2022-01-06,300,Alpha,True,0.0000,0.0000,0.0000,0,
33,test,2021-12-27,2022-01-06,300,Beta,True,0.0000,0.0000,0.0000,0,
33,test,2021-12-27,2022-01-06,300,Delta,True,0.5000,0.1667,0.0000,0,
33,test,2021-12-27,2022-01-06,300,Omicron_BA1,True,0.1071,0.0714,0.0000,0,
33,test,2021-12-27,2022-01-06,300,Lambda,True,0.1667,0.0000,0.0000,0,
33,test,2021-12-27,2022-01-06,300,Mu,True,0.1111,0.1111,0.0000,0,
34,test,2022-01-06,2022-01-09,298,Gamma,True,0.2500,0.0000,0.0000,0,
34,test,2022-01-06,2022-01-09,298,Zeta,True,0.6667,0.0000,0.0000,0,
34,test,2022-01-06,2022-01-09,298,Alpha,True,0.1429,0.0000,0.0000,0,
34,test,2022-01-06,2022-01-09,298,Beta,True,0.2857,0.0000,0.0000,0,
34,test,2022-01-06,2022-01-09,298,Delta,True,0.8333,0.1667,0.0000,0,
34,test,2022-01-06,2022-01-09,298,Omicron_BA1,True,0.2500,0.0357,0.0000,0,
34,test,2022-01-06,2022-01-09,298,Lambda,True,0.3333,0.0000,0.0000,0,
34,test,2022-01-06,2022-01-09,298,Mu,True,0.3333,0.0000,0.0000,0,
35,test,2022-01-09,2022-01-13,292,Gamma,True,0.0000,0.0000,0.0000,0,
35,test,2022-01-09,2022-01-13,292,Zeta,True,0.0000,0.0000,0.0000,0,
35,test,2022-01-09,2022-01-13,292,Alpha,True,0.0000,0.0000,0.0000,0,
35,test,2022-01-09,2022-01-13,292,Beta,True,0.0000,0.0000,0.0000,0,
35,test,2022-01-09,2022-01-13,292,Delta,True,0.3333,0.3333,0.0000,0,
35,test,2022-01-09,2022-01-13,292,Omicron_BA1,True,0.0357,0.0000,0.0000,1,
35,test,2022-01-09,2022-01-13,292,Lambda,True,0.1667,0.0000,0.0000,1,F490S
35,test,2022-01-09,2022-01-13,292,Mu,True,0.1111,0.1111,0.0000,0,
36,test,2022-01-13,2022-01-18,291,Gamma,True,0.0000,0.0000,0.0000,0,
36,test,2022-01-13,2022-01-18,291,Zeta,True,0.0000,0.0000,0.0000,0,
36,test,2022-01-13,2022-01-18,291,Alpha,True,0.0000,0.0000,0.0000,0,
36,test,2022-01-13,2022-01-18,291,Beta,True,0.0000,0.0000,0.0000,0,
36,test,2022-01-13,2022-01-18,291,Delta,True,0.0000,0.0000,0.0000,0,
36,test,2022-01-13,2022-01-18,291,Omicron_BA1,True,0.0357,0.0000,0.0000,1,
36,test,2022-01-13,2022-01-18,291,Lambda,True,0.1667,0.0000,0.0000,1,F490S
36,test,2022-01-13,2022-01-18,291,Mu,True,0.0000,0.0000,0.0000,0,
37,test,2022-01-18,2022-01-21,299,Gamma,True,0.0833,0.0000,0.0000,0,
37,test,2022-01-18,2022-01-21,299,Zeta,True,0.0000,0.0000,0.0000,0,
37,test,2022-01-18,2022-01-21,299,Alpha,True,0.0000,0.0000,0.0000,0,
37,test,2022-01-18,2022-01-21,299,Beta,True,0.1429,0.0000,0.0000,0,
37,test,2022-01-18,2022-01-21,299,Delta,True,0.3333,0.0000,0.0000,0,
37,test,2022-01-18,2022-01-21,299,Omicron_BA1,True,0.1786,0.0714,0.0000,0,
37,test,2022-01-18,2022-01-21,299,Lambda,True,0.1667,0.0000,0.0000,0,
37,test,2022-01-18,2022-01-21,299,Mu,True,0.2222,0.1111,0.0000,0,
38,test,2022-01-21,2022-01-28,299,Gamma,True,0.0000,0.0000,0.0000,0,
38,test,2022-01-21,2022-01-28,299,Zeta,True,0.0000,0.0000,0.0000,0,
