gid,split,date_min,date_max,n_leaves,voc_id,prospective,exact_recall,acquired_recall,bundle_frac,root_n_sig,root_bundle
10,val,2020-07-15,2020-07-15,292,Omicron_BA1,True,0.1071,0.0357,0.0000,2,S477N
10,val,2020-07-15,2020-07-15,292,Lambda,True,0.1667,0.0000,0.0000,1,
10,val,2020-07-15,2020-07-15,292,Mu,True,0.2222,0.1111,0.0000,1,
11,val,2020-07-15,2020-07-17,300,Gamma,True,0.0833,0.0833,0.0000,0,
11,val,2020-07-15,2020-07-17,300,Zeta,True,0.3333,0.3333,0.0000,0,
11,val,2020-07-15,2020-07-17,300,Alpha,True,0.1429,0.1429,0.0000,0,
11,val,2020-07-15,2020-07-17,300,Beta,True,0.1429,0.1429,0.0000,0,
11,val,2020-07-15,2020-07-17,300,Delta,True,0.1667,0.1667,0.0000,0,
11,val,2020-07-15,2020-07-17,300,Omicron_BA1,True,0.1071,0.1071,0.0000,0,
11,val,2020-07-15,2020-07-17,300,Lambda,True,0.1667,0.1667,0.0000,0,
11,val,2020-07-15,2020-07-17,300,Mu,True,0.1111,0.1111,0.0000,0,
12,val,2020-07-17,2020-07-18,220,Gamma,True,0.0833,0.0000,0.0000,1,
12,val,2020-07-17,2020-07-18,220,Zeta,True,0.3333,0.0000,0.0000,1,
12,val,2020-07-17,2020-07-18,220,Alpha,True,0.1429,0.0000,0.0000,1,
12,val,2020-07-17,2020-07-18,220,Beta,True,0.1429,0.0000,0.0000,1,
12,val,2020-07-17,2020-07-18,220,Delta,True,0.1667,0.0000,0.0000,1,
12,val,2020-07-17,2020-07-18,220,Omicron_BA1,True,0.0714,0.0000,0.0000,2,S477N
12,val,2020-07-17,2020-07-18,220,Lambda,True,0.1667,0.0000,0.0000,1,
12,val,2020-07-17,2020-07-18,220,Mu,True,0.1111,0.0000,0.0000,1,
13,val,2020-07-18,2020-07-20,261,Gamma,True,0.0833,0.0000,0.0000,1,
13,val,2020-07-18,2020-07-20,261,Zeta,True,0.3333,0.0000,0.0000,1,
13,val,2020-07-18,2020-07-20,261,Alpha,True,0.2857,0.1429,0.0000,1,
13,val,2020-07-18,2020-07-20,261,Beta,True,0.1429,0.0000,0.0000,1,
13,val,2020-07-18,2020-07-20,261,Delta,True,0.3333,0.1667,0.0000,1,
13,val,2020-07-18,2020-07-20,261,Omicron_BA1,True,0.0714,0.0000,0.0000,2,S477N
13,val,2020-07-18,2020-07-20,261,Lambda,True,0.1667,0.0000,0.0000,1,
13,val,2020-07-18,2020-07-20,261,Mu,True,0.1111,0.0000,0.0000,1,
15,val,2020-07-21,2020-07-23,281,Gamma,True,0.0833,0.0000,0.0000,1,
15,val,2020-07-21,2020-07-23,281,Zeta,True,0.3333,0.0000,0.0000,1,
15,val,2020-07-21,2020-07-23,281,Alpha,True,0.1429,0.0000,0.0000,1,
15,val,2020-07-21,2020-07-23,281,Beta,True,0.1429,0.0000,0.0000,1,
15,val,2020-07-21,2020-07-23,281,Delta,True,0.1667,0.0000,0.0000,1,
15,val,2020-07-21,2020-07-23,281,Omicron_BA1,True,0.0714,0.0000,0.0000,2,S477N
15,val,2020-07-21,2020-07-23,281,Lambda,True,0.1667,0.0000,0.0000,1,
15,val,2020-07-21,2020-07-23,281,Mu,True,0.1111,0.0000,0.0000,1,
17,val,2020-07-23,2020-07-25,300,Gamma,True,0.0833,0.0000,0.0000,1,
