method,track,sim_regime,root_id,N,H,sample_seed,valid,tree_kl,split_kl,rf,quartet,branch_w_all,terminal_edit,runtime
plm_prior,sim_WAG,WAG,NODE_0000000,16,0.010315698124999998,0,20,0.6931471605599453,42.597516564757946,0.9642857142857143,0.6533241758241758,0.000703146822506778,0.020257287985865725,1.7992722988128662
plm_prior,sim_LG,LG,NODE_0000000,16,0.010315698124999998,0,20,0.6931471605599453,42.597516564757946,0.9535714285714286,0.6373901098901099,0.000703146822506778,0.019638913427561838,1.7992722988128662
treesbm,empirical,,NODE_0000000,16,0.010315698124999998,0,20,nan,nan,0.9869565217391304,0.7636813186813187,0.0009075724176785771,0.01938493816254417,498.86461901664734
treesbm,sim_neutral,neutral,NODE_0000000,16,0.010315698124999998,0,20,0.6931471605599453,57.373026334612376,0.975,0.6562362637362638,0.0010162480431200303,0.01490172261484099,498.86461901664734
treesbm,sim_JTT,JTT,NODE_0000000,16,0.010315698124999998,0,20,0.6931471605599453,57.373026334612376,0.9714285714285714,0.6699175824175824,0.0010162480431200303,0.015531139575971731,498.86461901664734
treesbm,sim_WAG,WAG,NODE_0000000,16,0.010315698124999998,0,20,0.6931471605599453,57.373026334612376,0.9785714285714285,0.6695879120879121,0.0010162480431200303,0.015039752650176678,498.86461901664734
treesbm,sim_LG,LG,NODE_0000000,16,0.010315698124999998,0,20,0.6931471605599453,57.373026334612376,0.9785714285714285,0.655521978021978,0.0010162480431200303,0.014410335689045936,498.86461901664734
phylaflow,empirical,,NODE_0000000,16,0.010315698124999998,0,20,nan,nan,0.9867588932806324,0.7543406593406593,0.003899209213739986,0.02379085689045936,3.980722188949585
phylaflow,sim_neutral,neutral,NODE_0000000,16,0.010315698124999998,0,20,0.6931471610599452,78.63314735025575,0.9928571428571429,0.6817307692307693,0.0038283980809164166,0.019241386925795054,3.980722188949585
phylaflow,sim_JTT,JTT,NODE_0000000,16,0.010315698124999998,0,20,0.6931471610599452,78.63314735025575,0.9818783068783069,0.6767032967032967,0.0038283980809164166,0.019716210247349823,3.980722188949585
phylaflow,sim_WAG,WAG,NODE_0000000,16,0.010315698124999998,0,20,0.6931471610599452,78.63314735025575,0.9855820105820106,0.6484065934065933,0.0038283980809164166,0.01925242932862191,3.980722188949585
phylaflow,sim_LG,LG,NODE_0000000,16,0.010315698124999998,0,20,0.6931471610599452,78.63314735025575,0.9892857142857143,0.6724450549450549,0.0038283980809164166,0.018562279151943462,3.980722188949585
artreeformer_adapted,empirical,,NODE_0000000,16,0.010315698124999998,0,20,nan,nan,1.0,0.7530769230769231,0.0014768090999015332,0.024133171378091872,0.0
artreeformer_adapted,sim_neutral,neutral,NODE_0000000,16,0.010315698124999998,0,20,0.6931471605599453,63.13567518341723,0.9703703703703703,0.6255494505494505,0.001653911130824395,0.01951744699646643,0.0
artreeformer_adapted,sim_JTT,JTT,NODE_0000000,16,0.010315698124999998,0,20,0.6931471605599453,63.13567518341723,0.9703703703703703,0.6256318681318681,0.001653911130824395,0.02020207597173145,0.0
artreeformer_adapted,sim_WAG,WAG,NODE_0000000,16,0.010315698124999998,0,20,0.6931471605599453,63.13567518341723,0.9666666666666667,0.6556043956043957,0.001653911130824395,0.019804549469964662,0.0
artreeformer_adapted,sim_LG,LG,NODE_0000000,16,0.010315698124999998,0,20,0.6931471605599453,63.13567518341723,0.9703703703703703,0.6116758241758242,0.001653911130824395,0.01901501766784452,0.0
phylovae_adapted,empirical,,NODE_0000000,16,0.010315698124999998,0,20,nan,nan,0.9954545454545455,0.7610989010989011,0.0014258195152152516,0.024342977031802118,0.0
phylovae_adapted,sim_neutral,neutral,NODE_0000000,16,0.010315698124999998,0,20,0.6931471605599453,62.819011287364205,0.9777777777777777,0.6414285714285715,0.0016055696726871725,0.019694125441696114,0.0
phylovae_adapted,sim_JTT,JTT,NODE_0000000,16,0.010315698124999998,0,20,0.6931471605599453,62.819011287364205,0.9851851851851852,0.6398076923076923,0.0016055696726871725,0.020191033568904594,0.0
phylovae_adapted,sim_WAG,WAG,NODE_0000000,16,0.010315698124999998,0,20,0.6931471605599453,62.819011287364205,0.9666666666666667,0.6295879120879121,0.0016055696726871725,0.019649955830388692,0.0
phylovae_adapted,sim_LG,LG,NODE_0000000,16,0.010315698124999998,0,20,0.6931471605599453,62.819011287364205,0.9925925925925926,0.6531593406593407,0.0016055696726871725,0.01893219964664311,0.0
phylaflow_adapted,empirical,,NODE_0000000,16,0.010315698124999998,0,20,nan,nan,0.9911067193675889,0.7704120879120879,0.0014247821847306252,0.024177340989399294,0.0
phylaflow_adapted,sim_neutral,neutral,NODE_0000000,16,0.010315698124999998,0,20,0.6931471610599452,78.63314735025575,0.9782967032967033,0.6272527472527473,0.0015347639301963201,0.01958922261484099,0.0
phylaflow_adapted,sim_JTT,JTT,NODE_0000000,16,0.010315698124999998,0,20,0.6931471610599452,78.63314735025575,0.9747252747252747,0.6440384615384616,0.0015347639301963201,0.01990945229681979,0.0
